os_id,ppp_id
537,310398
5530,337152
5530,341073
5604,323329
5615,327031
5721,319808
5721,319809
6414,339204
6414,339217
6446,320045
6446,320111
6458,313069
6518,316142
6518,316143
6887,328527
7483,348752
7483,348753
15806,338578
18326,313573
18326,315549
19083,319808
19876,314952
20787,310178
20787,311602
20859,329463
66209,315560
67393,334261
71177,310042
77578,322028
78238,326391
80941,317588
81273,317588
83539,312138
83606,315567
83606,315568
712803,324141
712803,324142
68999,309918
399753,328251
397528,311580
372437,315192
371852,320324
371319,316439
371319,316440
371209,319247
370563,311977
370390,314374
490237,312428
3699,339473
3699,339473
3699,339473
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
3871,320990
4024,310042
4024,310042
4027,325003
5530,337152
5530,341073
5604,323329
5615,327031
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6063,310860
6258,313876
6414,339204
6414,339217
6414,339204
6414,339217
6446,320045
6446,320111
6446,320045
6446,320111
6458,312677
6458,312677
6458,313069
6458,313069
6458,313069
6518,316142
6518,316142
6518,316142
6518,316143
6518,316143
6518,316143
6685,346754
6846,312784
6846,312784
6887,320650
6887,320650
6887,320650
6887,328527
6887,328527
6887,328527
6923,316142
6923,316142
6923,316142
6923,316143
6923,316143
6923,316143
6933,312784
6933,312784
7195,316142
7195,316142
7195,316142
7195,316143
7195,316143
7195,316143
7396,313069
7396,313069
7396,313069
7483,348752
7483,348753
15805,312292
18059,319571
18059,341416
18260,316113
18260,316113
18326,313573
18326,313573
18326,315549
18326,315549
18359,313604
18465,312203
18497,318265
18499,347362
18513,310087
18565,310137
18565,310137
18565,310137
18565,310137
18565,310137
18583,334750
18583,335021
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18631,310860
18675,328069
18741,337985
18745,349272
18746,344600
18746,344606
18746,344600
18746,344606
18814,317047
18892,343110
18892,343110
19077,338465
19077,338466
19077,338466
19077,338465
19077,338466
19077,338466
19083,319808
19083,319809
19115,310599
19149,312780
19149,334827
19234,313226
19267,321405
19316,310312
19382,313001
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19383,310860
19400,310574
19419,331899
19506,312325
19506,316244
19506,312325
19506,316244
19518,350334
19809,316383
19900,337341
19900,343743
20076,317082
20101,310291
20311,318865
20311,318865
20311,318866
20311,318866
20372,310137
20372,310137
20372,310137
20372,310137
20372,310137
20455,347587
20455,347587
20502,312677
20502,312677
20502,313069
20502,313069
20502,313069
20646,310781
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20733,310860
20761,322155
20783,349138
20787,310178
20787,311602
20787,310178
20787,311602
20851,338360
20859,329309
20859,329463
20961,321742
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
20968,316220
21157,310124
21157,327586
21157,327587
21183,316246
21183,317656
21280,341546
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21534,310860
21734,311694
21773,318672
21773,321146
21831,334320
21920,321367
21920,321367
21966,315639
21966,315640
21966,315639
21966,315640
21966,349143
22317,321367
22317,321367
23964,337392
23964,347528
23964,337392
23964,347528
24013,310197
24013,311611
64770,310120
65007,334647
65080,340663
65292,316810
65292,318861
65467,329944
65467,332265
65612,341926
65612,342776
65751,310860
65816,321895
66061,316089
66103,331631
66103,332632
66109,310137
66171,335629
66171,338531
66192,311501
66209,315560
66215,315560
66394,310860
66399,328322
66399,331747
66456,312188
66475,313256
66475,318573
66749,317468
66811,313443
67177,334390
67177,349809
67393,334261
67393,338563
67420,316190
67420,316191
67432,310276
67432,311368
67457,324110
67457,330154
67459,315756
67546,311142
67660,334130
67706,331971
68220,315330
68246,337648
68341,310436
68354,313166
68354,329269
68369,347587
68401,310860
68426,319442
68631,325983
68632,335754
68632,335755
68642,310098
68681,314159
68681,314487
68806,310860
68848,311143
68848,311379
68972,318332
68999,309918
69819,310860
70138,313566
70286,317413
70287,310877
70533,313571
70624,314375
70706,346873
70858,310046
70864,313504
70889,313698
70988,311264
71078,314564
71078,321575
71126,311131
71126,311577
71177,310042
71200,326831
71299,309918
71457,320887
71567,348804
71586,310692
72791,314954
72791,319813
72838,323049
72841,314956
72962,311535
72962,311673
73187,323355
73187,324242
73614,312238
73619,343860
73686,324988
73686,335950
73750,310321
73848,309949
