os_id,ppp_id
550,312239
550,313558
550,342992
4709,318288
4709,324759
4709,332544
3806,324633
3806,333673
3806,333834
4709,332547
5519,337214
5604,345053
5615,347279
6264,321637
6264,321638
6264,346296
6389,310335
7054,338301
7054,338527
712794,340023
712794,342625
7488,338626
7491,342073
7700,311631
7700,312290
7700,312514
7700,334096
7700,334126
7700,336799
7700,339156
7700,339425
7700,344101
18553,312239
18553,313558
18553,342992
18608,342460
19033,312256
19050,346664
19077,345926
19077,346070
19137,320164
19328,338279
19545,318288
19631,333450
19631,342564
19701,313256
19701,345638
712310,342073
712413,344232
712455,310803
712461,348065
712519,312320
367038,333115
383234,335149
416218,321469
452240,321369
2260817,317060
355231,350182
387625,335153
713020,332291
521627,345521
917411,314349
455363,331976
101912,347521
2121977,326157
56023,312051
2394591,334552
19548,330931
2212422,341591
373415,332580
1063891,334396
410756,341948
1733415,332386
515131,346222
822835,318675
86625,316889
476950,339246
1582443,343062
998548,317078
2328405,315147
1175502,327826
878598,324595
896855,330230
1423423,311591
1973565,334456
1186798,315601
18493,338660
18493,338663
18493,338660
18493,338663
18493,338660
18493,338663
18493,341468
18493,341984
18493,341984
18493,341984
18493,341984
18493,341984
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342311
18493,342326
18493,342732
18493,344902
18493,342732
18493,344902
18493,342732
18493,344902
18493,342732
18493,344902
18493,344902
18493,336425
18493,342926
18493,336425
18493,342926
18493,343245
18493,343245
18493,343245
18493,343245
18493,343245
18493,343245
18493,343245
18493,343768
18493,343768
18493,343794
18493,343797
18493,343797
18493,344059
18493,344058
18493,342732
18493,344902
18493,342732
18493,344902
18493,342732
18493,344902
18493,342732
18493,344902
18493,344902
18493,347648
18493,347648
18493,347648
18493,347648
18493,347648
18493,347648
18493,347648
18493,347648
18493,347649
18493,347649
18493,347649
18493,347649
18493,347649
18493,347649
18493,349547
18493,349547
18493,349547
18493,349547
18493,349547
18493,349547
18498,323657
18498,323657
18498,325866
18498,325866
18498,325866
18498,326005
18498,326005
18498,326005
18498,332114
18498,332114
18498,340925
18498,340925
18498,340925
18498,340925
18498,347285
18498,347285
18498,347285
18498,347285
18498,347652
18498,347652
18498,347652
18498,347652
18549,320065
18549,320065
18549,321342
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,313558
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317393
18553,317392
18553,317392
18553,317393
18553,317392
18553,317393
18553,330687
18553,319551
18553,330687
18553,319551
18553,330687
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18553,346870
18566,311862
18566,311863
18566,311862
18566,311863
18608,338436
18608,342900
18608,338436
18608,342900
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,315418
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,316220
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,341122
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18631,345609
18637,326930
18637,327311
18637,327311
18637,326930
18637,327311
18637,326930
18637,327311
18637,326930
18637,327311
18637,326930
18637,327311
18637,327311
18637,326930
18637,327311
18637,326930
18637,327311
18637,326930
18637,327311
18774,319226
18781,334058
18781,339534
18786,314533
18786,318060
18880,344753
18880,341923
18880,344753
18954,312252
18969,327907
18969,331510
18969,327907
18969,331510
18969,331510
18969,331510
18969,327907
18969,331510
18969,335816
18969,335816
18969,335816
18969,335816
18975,335816
18975,335816
18975,335816
18975,335816
19014,343578
19033,312256
19033,344271
19050,319066
19059,320760
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19066,320990
19077,332819
19092,349528
19092,349528
19235,310078
19235,310078
19235,310078
19235,314656
19235,314656
19235,314656
19235,316160
19235,316160
19235,316160
19235,331008
19235,331008
19235,331008
19235,335880
19235,335880
19235,335880
19235,337180
19235,337180
19235,337180
19235,337180
19235,337214
19235,337214
19235,337214
19235,337214
19235,344290
19235,346562
19235,346562
19235,346562
19235,346562
19235,347343
19235,347343
19235,347343
19243,332690
19243,332690
19267,321278
19269,341291
19269,341291
19269,341291
19269,341291
19269,341291
19269,341291
19269,341291
19269,342879
19269,342879
19269,342879
19269,342879
19269,342879
19269,342879
19269,349368
19269,349368
19269,349368
19269,349368
19269,349368
19269,349368
19269,349368
19269,349368
19271,323290
19271,323290
19271,323290
19271,323290
19271,323982
19271,323982
19271,323982
19271,323983
19271,323982
19271,323983
19278,327331
19278,327331
19278,327331
19278,327331
19278,327331
19278,327331
19278,327331
19278,327331
19278,327331
19278,329815
19278,329815
19278,329815
19278,329815
19278,329815
19278,329815
19278,329815
19278,329815
19278,329815
19328,320348
19383,313646
19383,313646
19383,313646
19383,313646
19383,313646
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,315418
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,316220
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,341122
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19383,345609
19402,326930
19402,327311
19402,327311
19402,326930
19402,327311
19402,326930
19402,327311
19402,326930
19402,327311
19442,329338
19444,327907
19444,331510
19444,327907
19444,331510
19444,331510
19444,331510
19444,327907
19444,331510
19445,332664
19519,312425
19519,312425
19519,319374
19519,319374
19519,319374
19519,320739
19519,322068
19519,325939
19519,339497
19519,339497
19519,342143
19519,342143
19519,342568
19519,342568
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
19539,312558
